"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Sep 13",,"25378.74","8137.33","105.78","300.27","3277.80",,"21670.70","5818.54","3399.00",,"6311.68","3028.74",,"3282.94","907.93","2375.01",,,"2375.01","684.03",,,,"62.31",,"11.96",,"34.72","34.72",,"34.72","34.72",,"64206.30","32151.37","5.64","2.91","0.58",,"25.78","37.69",,,,,,,"42.62","100.00","62.31"
"Jun 13",,"23846.49","7360.76","113.13","397.95","4474.29",,"20206.45","5539.45","2895.45",,"7551.27","2865.88",,"4685.39","1444.31","3241.08",,,"3241.08","684.03",,,,"62.31",,"12.12",,"47.38","47.38",,"47.38","47.38",,"60891.46","29989.84","5.56","2.83","0.81",,"25.78","37.69",,,,,,,"42.62","100.00","62.31"
"Mar 13",,"23064.21","7035.03","166.14","518.81","5546.68",,"19705.77","5612.36","3252.10",,"7760.64","4180.99",,"3579.65","280.43","3299.22",,,"3299.22","684.03",,,,"62.31","11.22","12.92",,"49.13","49.13",,"49.13","49.13",,"51189.39","21956.48","4.75","2.10","0.81",,"25.78","37.69",,,,,,,"42.62","100.00","62.31"
"Dec 12",,"22800.19","7071.97","109.74","361.72","3648.49",,"19189.16","4351.23","2660.96",,"7790.76","2667.91",,"5122.85","1726.79","3396.06",,,"3396.06","671.05",,,,"61.58","10.70","12.21",,"50.61","50.61",,"50.61","50.61",,"53457.79","25370.31","5.30","2.59","0.87",,"25.78","38.42",,,,,,,"41.33","100.00","61.58"
"Sep 12",,"22538.08","6714.68","118.01","236.07","3346.63",,"18633.02","4280.19","2686.61",,"7353.65","1825.60",,"5528.05","1869.91","3658.14",,,"3658.14","671.04",,,,"61.58","11.17","12.63",,"54.51","54.51",,"54.51","54.51",,"49202.46","22614.59","5.15","2.44","0.96",,"25.78","38.42",,,,,,,"41.33","100.00","61.58"
"Jun 12",,"22134.62","6373.19","151.25","257.63","3498.80",,"17797.85","4137.12","2303.85",,"8176.67","2456.33",,"5720.34","1968.78","3751.56",,,"3751.56","671.04",,,,"61.58","11.53","13.17",,"55.91","55.91",,"55.91","55.91",,"47156.38","20324.01","4.99","2.22","1.03",,"25.78","38.42",,,,,,,"41.33","100.00","61.58"
"Mar 12",,"22141.10","6204.92","101.60","247.88","5264.04",,"16991.75","5431.00","1940.00",,"9596.79","3140.41",,"6456.38","2406.11","4050.27",,,"4050.27","671.04",,,,"61.58","12.05","13.86",,"63.76","63.76",,"63.76","63.76",,"39676.46","15818.85","4.44","1.82","1.15",,"25.78","38.42",,,,,,,"41.33","100.00","61.58"
"Dec 11",,"20891.37","6413.10","107.19","249.76","2125.95",,"16195.56","3911.34","2420.47",,"7260.00","2407.42",,"4852.58","1589.54","3263.04",,,"3263.04","635.00",,,,"59.40","10.19","11.60",,"51.39","51.39",,"51.39","51.39",,"40098.43","18803.17","4.61","2.22","0.97",,"25.78","40.60",,,,,,,"37.72","100.00","59.40"
"Sep 11",,"19788.88","5853.35","39.40","285.46","3427.23",,"15545.15","3914.33","2460.53",,"7474.31","3385.50",,"4088.81","1278.38","2810.43",,,"2810.43","635.00",,,,"59.40","10.31","11.40",,"44.26","44.26",,"44.26","44.26",,"33946.31","16120.49","4.19","2.04","0.87",,"25.78","40.60",,,,,,,"37.72","100.00","59.40"
"Jun 11",,"18256.35","5413.78","166.27","361.04","3534.23",,"14497.91","3717.37","2273.95",,"7242.44","4156.90",,"3085.54","1501.99","1583.55",,,"1583.55","635.00",,,,"59.40","10.56","11.60",,"24.94","24.94",,"24.94","24.94",,"27768.28","12435.20","3.52","1.61","0.50",,"25.78","40.60",,,,,,,"37.72","100.00","59.40"
"Mar 11",,"16256.56","5217.90","86.95","159.94","4815.49",,"13663.30","4218.82","2575.01",,"6079.71","4156.98",,"1922.73","1901.85","20.88",,,"20.88","635.00","64351.04",,,"59.40","10.69","11.98",,"0.33","0.33",,"0.33","0.33",,"25326.29","12346.89","3.28","1.63",,,"25.78","40.60",,,,,,,"37.72","100.00","59.40"
"Dec 10",,"15716.56","5156.88","103.96","435.39","3313.94",,"12363.03","3511.66","2087.56",,"6764.48","2051.51",,"4712.97","1884.91","2828.06",,,"2828.06","635.00","71599.83",,,"59.40","11.95","13.16",,"44.54","44.54",,"44.54","44.54",,"23437.75","11695.14","3.17","1.61","0.94",,"25.78","40.60",,,,,,,"37.72","100.00","59.40"
"Sep 10",,"14580.78","4804.35","81.91","341.06","4005.21",,"11693.22","3675.77","2087.31",,"6357.01","2621.47",,"3735.54","1234.17","2501.37",,,"2501.37","635.00","71599.83",,,"59.40","12.05","13.20",,"39.39","39.39",,"39.39","39.39",,"23204.59","11601.23","3.35","1.70","0.87",,"25.78","40.60",,,,,,,"37.72","100.00","59.40"
"Jun 10",,"13422.09","4472.24","137.84","419.95","3689.96",,"11148.40","3073.93","1785.39",,"6134.36","1551.37",,"4582.99","1668.79","2914.20",,,"2914.20","634.88","65314.32",,,"59.41","12.17","13.54",,"45.90","45.90",,"45.90","45.90",,"20825.22","11074.37","3.14","1.70","1.07",,"25.77","40.59",,,,,,,"37.72","100.00","59.41"
"Mar 10",,"12967.32","4452.33","217.66","328.28","4508.53",,"11244.15","3591.76","2444.33",,"5193.88","2349.40",,"2844.48","977.88","1866.60",,,"1866.60","634.88","65314.32",,,"59.41",,,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
"Dec 09",,"12639.37","4433.30","240.71","466.31","3365.71",,"11463.39","3117.48","1946.39",,"4618.14","856.61",,"3761.53","1282.48","2479.05",,,"2479.05","634.88","57312.81",,,"59.41","12.32",,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
"Sep 09",,"12668.83","4512.14","404.46","190.45","3525.16",,"12167.06","2634.12","1664.84",,"4835.02","1016.07",,"3818.95","1328.91","2490.04",,,"2490.04","634.88","57312.81",,,"59.41","12.47",,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
"Jun 09",,"12357.12","4338.53","649.09","128.02","3568.75",,"12447.88","3411.29","1508.47",,"3673.87","172.73",,"3501.14","1170.77","2330.37",,,"2330.37","634.88","57312.81",,,"59.41","13.11",,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
"Mar 09",,"12083.61","4230.89","880.15","147.74","4718.22",,"12500.45","2349.60","1933.51",,"5277.05","1377.66",,"3899.39","1157.08","2742.31",,,"2742.31","634.88","57312.81",,,"59.41","12.97",,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
"Dec 08",,"12836.62","4006.58","173.77","1013.37","3225.56",,"12272.15","3045.56","1455.57",,"4482.62","196.83",,"4285.79","1807.37","2478.42",,,"2478.42","634.88","48401.19",,,"59.41","13.35",,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
