"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Dec 13",,"1701.66","483.89","6.33","0.42","299.71",,"1279.56","277.34","350.38",,"584.73","69.74",,"514.99","175.01","339.98",,,"339.98","384.56",,,,,,"17.50",,"4.42","4.41",,"4.42","4.41",,"1076.18","584.52","2.01","1.10","0.41",,"43.34","56.35",,,,,,,"33.57","100.00","43.65"
"Sep 13",,"1644.29","509.56","7.17","11.31","297.13",,"1248.22","264.65","350.05",,"606.54","72.29",,"534.25","181.71","352.54",,,"352.54","384.12",,,,,,"18.23",,"4.59","4.58",,"4.59","4.58",,"1005.97","486.92","1.97","0.96","0.43",,"43.26","56.31",,,,,,,"33.57","100.00","43.69"
"Jun 13",,"1621.71","558.39","6.84","3.07","462.39",,"1273.35","301.44","298.83",,"778.78","168.86",,"609.92","207.10","402.82",,,"402.82","383.63",,,,,,"18.16",,"5.32","5.30",,"5.32","5.30",,"995.39","495.77","1.95","0.98","0.48",,"43.16","56.25",,,,,,,"33.57","100.00","43.75"
"Mar 13",,"1670.41","530.99","6.66","0.32","363.85",,"1304.98","288.26","325.59",,"653.40","37.43",,"615.97","179.76","436.21",,,"436.21","373.31",,,,,,"16.05",,"5.85","5.83",,"5.85","5.83",,"758.11","311.41","1.55","0.64","0.53",,"41.09","55.04",,,,,,,"33.57","100.00","44.96"
"Dec 12",,"1597.49","491.64","5.22","0.23","304.86",,"1271.73","263.59","291.50",,"572.62","42.36",,"530.26","168.58","361.68",,,"361.68","372.10",,,,,,"15.63",,"4.86","4.84",,"4.86","4.84",,"740.02","322.71","1.46","0.64","0.46",,"40.85","54.89",,,,,,,"33.57","100.00","45.11"
"Sep 12",,"1484.34","428.38","10.24","0.74","250.80",,"1165.57","242.77","283.95",,"482.21","70.62",,"411.59","131.21","280.38",,,"280.38","371.65",,,,,,"15.40",,"3.77","3.75",,"3.77","3.75",,"739.87","341.07","1.61","0.75","0.39",,"40.76","54.84",,,,,,,"33.57","100.00","45.16"
"Jun 12",,"1393.85","418.83","2.20","0.95","241.15",,"1094.53","256.55","257.53",,"448.38","34.14",,"414.24","131.79","282.45",,,"282.45","371.24",,,,,,"16.57",,"3.81","3.79",,"3.81","3.79",,"684.68","340.25","1.60","0.80","0.42",,"40.68","54.79",,,,,,,"33.57","100.00","45.21"
"Mar 12",,"1359.71","381.28","2.04","1.81","254.23",,"1057.10","224.83","271.82",,"445.32","4.63",,"440.69","143.77","296.93",,,"296.93","370.35",,,,,,"17.52",,"4.01","3.99",,"4.01","3.99",,"614.19","237.38","1.56","0.61","0.46",,"40.50","54.68",,,,,,,"33.57","100.00","45.32"
"Dec 11",,"1306.48","333.82","0.60","0.08","281.96",,"989.53","226.01","263.79",,"443.61","30.72",,"412.89","136.81","276.08",,,"276.08","369.78",,,,,,"16.87",,"3.74","3.72",,"3.74","3.72",,"609.70","223.69","1.52","0.56","0.45",,"40.38","54.60",,,,,,,"33.58","100.00","45.40"
"Sep 11",,"1159.08","304.90","0.55","0.12","212.49",,"859.19","215.16","222.78",,"380.01","-2.36",,"382.37","122.36","260.01",,,"260.01","369.32",,,,,,"17.80",,"3.52","3.50",,"3.52","3.50",,"609.07","210.05","1.61","0.56","0.45",,"40.29","54.54",,,,,,,"33.58","100.00","45.46"
"Jun 11",,"1042.17","286.36","0.88","0.37","228.66",,"761.93","206.19","204.27",,"386.06","22.08",,"363.97","111.94","252.03",,,"252.03","368.91",,,,,,"18.15",,"3.42","3.40",,"3.42","3.40",,"615.71","213.52","1.88","0.66","0.47",,"40.20","54.49",,,,,,,"33.58","100.00","45.51"
"Mar 11",,"979.55","248.31","4.35","0.42","191.30",,"611.06","218.30","226.60",,"367.97","-7.17",,"375.14","126.44","248.70",,,"248.70","368.44",,,,,,"19.92",,"3.38","3.36",,"3.38","3.36",,"603.49","211.16","2.03","0.72","0.50",,"40.11","54.43",,,"0.01","0.03","0.01",,"33.57","99.97","45.56"
"Dec 10",,"878.44","248.91","7.96","0.09","165.34",,"563.92","198.49","223.61",,"314.72","42.66",,"272.06","84.19","187.87",,,"187.87","368.15",,,,,,"18.66",,"2.56","2.54",,"2.56","2.54",,"744.20","235.28","2.53","0.81","0.38",,"40.05","54.39",,,"0.01","0.03","0.01",,"33.57","99.97","45.60"
"Sep 10",,"776.14","234.48","3.63","0.47","139.33",,"470.89","168.74","187.66",,"326.75","45.51",,"281.25","86.54","194.70",,,"194.70","366.70",,,,,,"19.43",,"2.72","2.70",,"2.72","2.70",,"751.14","253.01","2.78","0.95","0.44",,"39.76","54.22",,,"0.01","0.03","0.01",,"33.57","99.97","45.77"
"Jun 10",,"694.02","225.48","1.25","0.05","137.07",,"412.61","165.62","164.30",,"315.34","56.09",,"259.25","72.34","186.90",,,"186.90","348.59",,,,,,"16.79",,"2.69",,,"2.69","2.69",,"778.19",,"3.29","1.33","2.20",,"18.07","51.83",,,"0.01","0.03","0.01",,"33.57","99.97","48.16"
"Mar 10",,"681.38","198.47","0.52","0.38","251.50",,"354.71","173.99","167.95",,"435.60","127.57",,"308.03","105.53","202.50",,,"202.50","348.14",,,,,"18.35",,,,,,,,,,,,,,,"18.02","51.77",,,,,,,,,
"Dec 09",,"645.43","186.67","0.13","0.18","144.79",,"345.76","132.61","161.93",,"336.89","127.66",,"209.24","66.85","142.38",,,"142.38","347.70",,,,,"17.01",,,,,,,,,,,,,,,"17.98","51.73",,,,,,,,,
"Sep 09",,"590.36","184.53","0.20","0.06","109.04",,"338.68","127.98","173.30",,"244.23","77.27",,"166.96","41.05","125.91",,,"125.91","346.78",,,,,"17.73",,,,,,,,,,,,,,,"17.89","51.60",,,,,,,,,
"Jun 09",,"609.74","157.19","0.20","0.18","126.93",,"358.32","121.20","130.42",,"284.29","157.42",,"126.88","36.57","90.31",,,"90.31","346.30",,,,,"18.57",,,,,,,,,,,,,,,"17.84","51.54",,,,,,,,,
"Mar 09",,"656.31","146.24","0.13","0.34","115.06",,"385.04","120.46","156.14",,"256.46","96.29",,"160.17","57.60","102.57",,,"102.57","345.67",,,,,"19.86",,,,,,,,,,,,,,,"16.46","47.62",,,,,,,,,
"Dec 08",,"659.14","140.85","3.24","0.28","109.03",,"420.97","143.00","151.12",,"197.46","88.13",,"109.33","38.20","71.13",,,"71.13","345.47",,,,,"17.01",,,,,,,,,,,,,,,"16.44","47.59",,,,,,,,,
"Sep 08",,"613.83","126.20","5.85","0.25","60.64",,"380.59","141.31","172.38",,"112.49","37.81",,"74.67","26.81","47.87",,,"47.87","345.34",,,,,"17.22",,,,,,,,,,,,,,,"16.42","47.55",,,,,,,,,
"Jun 08",,"564.44","145.11","2.50","0.42","83.13",,"360.00","152.06","159.95",,"123.58","41.70",,"81.89","27.35","54.53",,,"54.53","345.05",,,,,"18.58",,,,,,,,,,,,,,,"16.16","46.85",,,,,,,,,
"Mar 08",,"540.08","219.47","2.88","1.24","39.35",,"372.89","103.83","157.23",,"169.07","87.49",,"81.58","12.38","69.21",,,"69.21","344.67","3190.82",,,,"18.65",,,,,,,,,,,,,,,"16.35","47.45",,,,,,,,,
"Dec 07",,"473.24","203.45","3.74","2.22","204.54",,"335.21","147.52","145.49",,"258.97","117.72",,"141.25","39.58","101.67",,,"101.67","344.21",,,,,"18.40",,,,,,,,,,,,,,,"16.31","47.38",,,,,,,,,
"Sep 07",,"421.63","160.49","7.62","2.08","122.35",,"308.42","124.83","134.50",,"146.41","38.14",,"108.27","32.89","75.38",,,"75.38","326.95",,,,,"10.94",,,,,,,,,,,,,,,"14.58","44.60",,,,,,,,,
"Jun 07",,"364.99","132.76","3.80","3.53","89.37",,"293.04","107.77","98.20",,"95.43","28.75",,"66.68","19.00","47.68",,,"47.68","326.43",,,,,"11.33",,,,,,,,,,,,,,,"14.52","44.50",,,,,,,,,
