,KOTAKBANK.NS.Close,,SBIN.NS.Close,,AXISBANK.NS.Adjusted,,HDFCBANK.NS.Close
17/11/2009,207.449997,18/11/2009,232.779999,2009-11-18,141.887924,18/11/2009,349.920013
18/11/2009,203.787994,19/11/2009,228.134995,2009-11-19,140.098618,19/11/2009,343.910004
19/11/2009,196.011993,20/11/2009,233.494995,2009-11-20,140.879669,20/11/2009,350.799988
20/11/2009,198.324997,23/11/2009,232,2009-11-23,141.923431,23/11/2009,353.089996
23/11/2009,201.287994,24/11/2009,230.554993,2009-11-24,142.022842,24/11/2009,355.380005
24/11/2009,194.561996,25/11/2009,232.210007,2009-11-25,144.373062,25/11/2009,360.540009
25/11/2009,197.488007,26/11/2009,225.464996,2009-11-26,141.632309,26/11/2009,352.23999
26/11/2009,196.050003,27/11/2009,224.289993,2009-11-27,137.918808,27/11/2009,350.070007
27/11/2009,190.925003,30/11/2009,223.955002,2009-11-30,141.923431,30/11/2009,353.25
30/11/2009,196.774994,01/12/2009,229.160004,2009-12-01,147.241653,01/12/2009,357.940002
01/12/2009,203.863007,02/12/2009,230.895004,2009-12-02,148.746948,02/12/2009,361.420013
02/12/2009,204.350006,03/12/2009,235.455002,2009-12-03,149.052277,03/12/2009,361.390015
03/12/2009,201.550003,04/12/2009,232.804993,2009-12-04,145.84996,04/12/2009,357.910004
04/12/2009,198.962006,07/12/2009,232.175003,2009-12-07,143.293808,07/12/2009,359.470001
07/12/2009,196.136993,08/12/2009,230.729996,2009-12-08,147.646378,08/12/2009,366.649994
08/12/2009,201.613007,09/12/2009,229.389999,2009-12-09,144.259476,09/12/2009,360.869995
09/12/2009,197.550003,10/12/2009,229.695007,2009-12-10,145.040527,10/12/2009,357.019989
10/12/2009,200.100006,11/12/2009,226.645004,2009-12-11,142.541168,11/12/2009,357.029999
11/12/2009,200.712006,14/12/2009,224.690002,2009-12-14,141.248886,14/12/2009,351.459991
14/12/2009,199.574997,15/12/2009,218.050003,2009-12-15,136.285706,15/12/2009,340.160004
15/12/2009,197.125,16/12/2009,215.259995,2009-12-16,133.09758,16/12/2009,338.670013
16/12/2009,194.011993,17/12/2009,216.619995,2009-12-17,133.736649,17/12/2009,334.299988
17/12/2009,195.899994,18/12/2009,214.535004,2009-12-18,132.678665,18/12/2009,332.820007
18/12/2009,193.725006,21/12/2009,214.574997,2009-12-21,135.518845,21/12/2009,330.549988
21/12/2009,194.886993,22/12/2009,216.595001,2009-12-22,137.776779,22/12/2009,329.309998
22/12/2009,199.725006,23/12/2009,221,2009-12-23,139.509293,23/12/2009,338.070007
23/12/2009,202.524994,24/12/2009,221.904999,2009-12-24,140.212219,24/12/2009,342.130005
24/12/2009,201.287994,29/12/2009,222.009995,2009-12-29,139.842987,29/12/2009,339.390015
29/12/2009,202.162994,30/12/2009,222.429993,2009-12-30,139.367279,30/12/2009,338.5
30/12/2009,204.899994,31/12/2009,226.899994,2009-12-31,140.474945,31/12/2009,340.450012
31/12/2009,201.738007,04/01/2010,229.119995,2010-01-04,140.886749,04/01/2010,341.140015
04/01/2010,205.725006,05/01/2010,229.205002,2010-01-05,143.82634,05/01/2010,341.440002
05/01/2010,207.761993,06/01/2010,230.580002,2010-01-06,141.412186,06/01/2010,341.670013
06/01/2010,210.287994,07/01/2010,229.289993,2010-01-07,142.413345,07/01/2010,342.559998
07/01/2010,212.649994,08/01/2010,228.604996,2010-01-08,144.273682,08/01/2010,343.01001
08/01/2010,211.337006,11/01/2010,226.720001,2010-01-11,149.023865,11/01/2010,341.630005
11/01/2010,212.149994,12/01/2010,220.320007,2010-01-12,149.009659,12/01/2010,339.040009
12/01/2010,205.761993,13/01/2010,217.589996,2010-01-13,147.731583,13/01/2010,337.859985
13/01/2010,203.25,14/01/2010,215.735001,2010-01-14,151.395401,14/01/2010,336.76001
14/01/2010,206.100006,15/01/2010,214.335007,2010-01-15,153.056915,15/01/2010,338.829987
15/01/2010,205.475006,18/01/2010,215.639999,2010-01-18,157.295868,18/01/2010,353.329987
18/01/2010,212.962006,19/01/2010,217.309998,2010-01-19,157.026047,19/01/2010,355.839996
19/01/2010,214.636993,20/01/2010,215.985001,2010-01-20,153.90184,20/01/2010,351.220001
20/01/2010,218.811996,21/01/2010,212.410004,2010-01-21,150.706665,21/01/2010,342.329987
21/01/2010,211.087006,22/01/2010,208.735001,2010-01-22,146.50322,22/01/2010,335.420013
22/01/2010,202.425003,25/01/2010,209.160004,2010-01-25,144.6642,25/01/2010,331.339996
25/01/2010,194.524994,27/01/2010,198.764999,2010-01-27,138.138901,27/01/2010,319.440002
27/01/2010,191.261993,28/01/2010,200.324997,2010-01-28,144.678406,28/01/2010,318.649994
28/01/2010,195.225006,29/01/2010,205.660004,2010-01-29,145.658249,29/01/2010,326.209991
29/01/2010,194.725006,01/02/2010,202.125,2010-02-01,150.891251,01/02/2010,319.950012
01/02/2010,196.238007,02/02/2010,197.835007,2010-02-02,147.305557,02/02/2010,315.820007
02/02/2010,188.462006,03/02/2010,199.880005,2010-02-03,152.091232,03/02/2010,324.549988
03/02/2010,194.899994,04/02/2010,194.789993,2010-02-04,148.888947,04/02/2010,323.350006
04/02/2010,187.261993,05/02/2010,189.779999,2010-02-05,145.658249,05/02/2010,314.670013
05/02/2010,179.074997,08/02/2010,193.654999,2010-02-08,145.232224,08/02/2010,313.480011
08/02/2010,184.511993,09/02/2010,195.029999,2010-02-09,147.483063,09/02/2010,314.329987
09/02/2010,185.988007,10/02/2010,191.184998,2010-02-10,145.509125,10/02/2010,318.709991
10/02/2010,181.863007,11/02/2010,191.764999,2010-02-11,146.723312,11/02/2010,319.600006
11/02/2010,183.824997,15/02/2010,189.5,2010-02-15,146.105591,15/02/2010,322.76001
15/02/2010,181.925003,16/02/2010,192.059998,2010-02-16,145.722153,16/02/2010,321.279999
16/02/2010,184.949997,17/02/2010,195.684998,2010-02-17,151.565826,17/02/2010,331.190002
17/02/2010,189.561996,18/02/2010,194.240005,2010-02-18,155.996475,18/02/2010,336.75
18/02/2010,187.863007,19/02/2010,190.529999,2010-02-19,155.428436,19/02/2010,338.779999
19/02/2010,182.5,22/02/2010,191.634995,2010-02-22,157.267471,22/02/2010,339.320007
22/02/2010,179.037994,23/02/2010,191.190002,2010-02-23,155.946777,23/02/2010,340.200012
23/02/2010,176.386993,24/02/2010,192.125,2010-02-24,155.329041,24/02/2010,340.100006
24/02/2010,177,25/02/2010,191.365005,2010-02-25,155.676971,25/02/2010,338.209991
25/02/2010,182.488007,26/02/2010,197.429993,2010-02-26,159.68869,26/02/2010,340.959991
26/02/2010,186.061996,02/03/2010,198.664993,2010-03-02,164.019974,02/03/2010,348.98999
02/03/2010,187.311996,03/03/2010,202.240005,2010-03-03,163.153717,03/03/2010,355.329987
03/03/2010,189.774994,04/03/2010,203.270004,2010-03-04,159.283997,04/03/2010,356.230011
04/03/2010,193.800003,05/03/2010,204.720001,2010-03-05,156.685226,05/03/2010,356.799988
05/03/2010,200.462006,08/03/2010,206.595001,2010-03-08,160.370331,08/03/2010,356.839996
08/03/2010,203.125,09/03/2010,204.460007,2010-03-09,158.715942,09/03/2010,362.23999
09/03/2010,198.375,10/03/2010,203.725006,2010-03-10,160.68277,10/03/2010,362.890015
10/03/2010,198.425003,11/03/2010,204.574997,2010-03-11,163.501648,11/03/2010,365.390015
11/03/2010,194.688004,12/03/2010,204.789993,2010-03-12,163.45903,12/03/2010,360.25
12/03/2010,194.024994,15/03/2010,201.509995,2010-03-15,162.27327,15/03/2010,362.51001
15/03/2010,189.837006,16/03/2010,201.585007,2010-03-16,162.585663,16/03/2010,360.920013
16/03/2010,189.287994,17/03/2010,202.729996,2010-03-17,163.19632,17/03/2010,361.540009
17/03/2010,190.636993,18/03/2010,202.964996,2010-03-18,165.269669,18/03/2010,360.179993
18/03/2010,188.613007,19/03/2010,205.845001,2010-03-19,164.161972,19/03/2010,363.970001
19/03/2010,186.725006,22/03/2010,204.095001,2010-03-22,162.812897,22/03/2010,367.420013
22/03/2010,185.949997,23/03/2010,204.854996,2010-03-23,165.006943,23/03/2010,376.799988
23/03/2010,182.462006,25/03/2010,204.955002,2010-03-25,163.991592,25/03/2010,385.230011
25/03/2010,184.912994,26/03/2010,207.285004,2010-03-26,169.451797,26/03/2010,390.290009
26/03/2010,187.962006,29/03/2010,209.505005,2010-03-29,170.261261,29/03/2010,393.01001
29/03/2010,188.587006,30/03/2010,208.255005,2010-03-30,166.590317,30/03/2010,381.369995
30/03/2010,187.113007,31/03/2010,207.820007,2010-03-31,165.901566,31/03/2010,386.700012
31/03/2010,187.037994,01/04/2010,210.259995,2010-04-01,166.654236,01/04/2010,387.850006
01/04/2010,186.712006,05/04/2010,213.824997,2010-04-05,167.15834,05/04/2010,389.700012
05/04/2010,191.587006,06/04/2010,212.354996,2010-04-06,166.796234,06/04/2010,386.579987
06/04/2010,195.488007,07/04/2010,211.089996,2010-04-07,165.340637,07/04/2010,386.350006
