"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Dec 15",,"11483.49","3651.42","59.52","216.69","2872.19",,"8342.61","1431.27","2773.57",,"5735.86","653.88",,"5081.98","1725.14","3356.84",,,"3356.84","505.02",,,,,,,,"13.30","13.10",,"13.30","13.10",,"4255.20","1260.60","0.97","0.29","0.50",,,,,,,,,,,,
"Sep 15",,"10948.34","3397.67","174.86","251.65","2551.76",,"8091.62","1413.97","2775.80",,"5042.89","681.29",,"4361.60","1492.15","2869.45",,,"2869.45","503.64",,,,,,,,"11.50","11.30",,"11.50","11.30",,"3827.77","1037.68","0.91","0.25","0.50",,"150.20","59.60",,,,,,,"54.32","100.00","21.60"
"Jun 15",,"10447.14","3281.34","78.31","234.27","2461.91",,"7652.29","1359.01","2641.78",,"4849.89","727.99",,"4121.90","1426.18","2695.72",,,"2695.72","502.29",,,,,,,,"10.70","10.60",,"10.70","10.60",,"3652.23","1027.70","0.95","0.27","0.50",,"149.52","59.60",,,,,,,"54.32","100.00","21.60"
"Mar 15",,"9828.69","3057.19","110.06","10.43","2563.76",,"6993.22","1325.56","2529.40",,"4721.95","576.65",,"4145.30","1338.39","2806.91",,,"2806.91","501.30",,,,,,,,"11.40","11.30",,"11.40","11.30",,"3438.38","896.28","0.93","0.25","0.50",,"149.03","59.40",,,,,,,"54.32","100.00","21.70"
"Dec 14",,"9543.18","2695.61","137.94","19.10","2534.91",,"6695.90","1132.53","2323.75",,"4778.56","560.43",,"4218.13","1423.62","2794.51",,,"2794.51","483.48",,,,,,,,"11.50","11.40",,"11.50","11.40",,"3467.91","903.66","1.00","0.30","0.50",,"146.72","60.70",,,,,,,"54.32","100.00","22.50"
"Sep 14",,"9073.85","2613.80","147.63","12.35","2047.10",,"6336.64","1166.94","2330.96",,"4060.19","455.89",,"3604.30","1222.84","2381.46",,,"2381.46","482.86",,,,,,,,"9.90","9.80",,"9.90","9.80",,"3361.65","917.34","1.00","0.30","0.50",,"146.41","60.60",,,,,,,"54.32","100.00","22.50"
"Jun 14",,"8735.07","2339.01","121.47","24.53","1850.57",,"6048.47","1125.93","2052.48",,"3843.77","482.78",,"3360.99","1127.95","2233.04",,,"2233.04","481.54",,,,,,,,"9.30","9.20",,"9.30","9.20",,"3356.22","1007.42","1.07","0.32","0.50",,"145.75","60.50",,,,,,,"54.32","100.00","22.60"
"Mar 14",,"8487.01","2217.90","76.42","7.23","2001.42",,"5835.92","1061.24","2113.48",,"3779.34","286.13",,"3493.21","1166.69","2326.52",,,"2326.52","479.81",,,,,,,,"9.70","9.60",,"9.70","9.60",,"2989.28","820.03","1.00","0.30","0.50",,"144.88","60.40",,,,,,,"54.32","100.00","22.60"
"Dec 13",,"8183.06","2309.40","85.15","13.07","2148.27",,"5955.91","972.97","1922.10",,"3887.97","388.84",,"3499.13","1173.43","2325.70",,,"2325.70","478.92",,,,,,,,"9.80","9.70",,"9.80","9.70",,"3017.84","797.34","1.00","0.30","0.50",,"144.44","60.30",,,,,,,"54.32","100.00","22.70"
"Sep 13",,"7692.11","2291.73","84.15","25.35","1844.35",,"5616.81","1035.69","1898.52",,"3386.67","385.93",,"3000.74","1018.42","1982.32",,,"1982.32","478.25",,,,,,,,"8.30","8.20",,"8.30","8.20",,"2941.71","767.21","1.10","0.30","0.50",,"144.10","60.30",,,,,,,"54.32","100.00","22.70"
